Timestamp	Lambda3	Lambda4	Lambda5	Lambda6	Lambda7	Lambda9	Lambda10	Lambda11	Lambda12
17/1/2023 16:24:02.78555	"152,299,051"	"152,672,675"	"153,019,665"	"153,398,172"	"153,838,658"	"154,640,118"	"155,013,376"	"155,415,559"	"155,797,464"
17/1/2023 16:24:03.28555	"152,299,090"	"152,672,967"	"153,019,600"	"153,398,207"	"153,838,849"	"154,640,297"	"155,013,485"	"155,415,589"	"155,797,477"
17/1/2023 16:24:03.78555	"152,299,159"	"152,672,717"	"153,019,624"	"153,398,227"	"153,838,599"	"154,640,218"	"155,013,464"	"155,415,628"	"155,797,607"
17/1/2023 16:24:04.28555	"152,299,128"	"152,672,720"	"153,019,662"	"153,398,202"	"153,838,386"	"154,640,142"	"155,013,451"	"155,415,563"	"155,797,514"
17/1/2023 16:24:04.78555	"152,299,353"	"152,672,655"	"153,019,727"	"153,398,154"	"153,838,860"	"154,640,092"	"155,013,421"	"155,415,653"	"155,797,580"
17/1/2023 16:24:05.28555	"152,299,114"	"152,672,821"	"153,019,650"	"153,398,186"	"153,838,614"	"154,640,117"	"155,013,475"	"155,415,570"	"155,797,538"
17/1/2023 16:24:05.78555	"152,299,164"	"152,672,806"	"153,019,672"	"153,398,238"	"153,838,934"	"154,640,230"	"155,013,490"	"155,415,664"	"155,797,611"
17/1/2023 16:24:06.28555	"152,299,070"	"152,672,905"	"153,019,619"	"153,398,257"	"153,838,909"	"154,640,161"	"155,013,447"	"155,415,530"	"155,797,663"
17/1/2023 16:24:06.78555	"152,299,118"	"152,672,621"	"153,019,645"	"153,398,156"	"153,838,982"	"154,640,091"	"155,013,405"	"155,415,319"	"155,797,544"
17/1/2023 16:24:07.28555	"152,299,144"	"152,673,030"	"153,019,541"	"153,398,207"	"153,839,003"	"154,640,215"	"155,013,391"	"155,415,595"	"155,797,549"
17/1/2023 16:24:07.78555	"152,299,134"	"152,672,995"	"153,019,480"	"153,398,185"	"153,838,630"	"154,640,132"	"155,013,349"	"155,415,665"	"155,797,509"
